korean,stem,createdDate,english,hanja,lastUpdated,order_id,storyList
절간,절간 [-깐] ,{'$date': {'$numberLong': '1599430742443'}},Buddhist temple,間,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 100},['5f53fc3cceceb9573eaf8788']
자체,자체 ,{'$date': {'$numberLong': '1599430742443'}},itself,自體,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 101},['5f53fc3cceceb9573eaf8788']
손질되,손질되다,{'$date': {'$numberLong': '1599430742443'}},be/get maintained,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 102},['5f53fc3cceceb9573eaf8788']
정리되,정리되다 ,{'$date': {'$numberLong': '1599430742443'}},be/get organized,整理,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 103},['5f53fc3cceceb9573eaf8788']
유원지,유원지 ,{'$date': {'$numberLong': '1599430742443'}},amusement park,遊園地,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 104},['5f53fc3cceceb9573eaf8788']
빤빤하,빤빤하다 ,{'$date': {'$numberLong': '1599430742443'}},"brazen-faced; impudent, shameless",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 105},['5f53fc3cceceb9573eaf8788']
사찰,사찰 ,{'$date': {'$numberLong': '1599430742443'}},Buddhist temple,寺刹,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 106},['5f53fc3cceceb9573eaf8788']
격,격 ,{'$date': {'$numberLong': '1599430742443'}},"rank, class, level",格,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 107},['5f53fc3cceceb9573eaf8788']
대웅전,대웅전 ,{'$date': {'$numberLong': '1599430742443'}},the main shrine,大雄殿,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 108},['5f53fc3cceceb9573eaf8788']
지붕,지붕 ,{'$date': {'$numberLong': '1599430742443'}},roof,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 109},['5f53fc3cceceb9573eaf8788']
자라,자라다 ,{'$date': {'$numberLong': '1599430742443'}},grow,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 110},['5f53fc3cceceb9573eaf8788']
잡초,잡초 ,{'$date': {'$numberLong': '1599430742443'}},weeds,雜草,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 111},['5f53fc3cceceb9573eaf8788']
퇴락하,퇴락하다 ,{'$date': {'$numberLong': '1599430742443'}},"be dilapidated, deteriorated",頹落,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 112},['5f53fc3cceceb9573eaf8788']
단층,단층 ,{'$date': {'$numberLong': '1599430742443'}},"single-story, one floor",單層,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 113},['5f53fc3cceceb9573eaf8788']
갈라지,갈라지다 ,{'$date': {'$numberLong': '1599430742443'}},be/get split,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 114},['5f53fc3cceceb9573eaf8788']
흙벽,흙벽 ,{'$date': {'$numberLong': '1599430742443'}},mud wall,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 115},['5f53fc3cceceb9573eaf8788']
삐걱이,삐걱이다 ,{'$date': {'$numberLong': '1599430742443'}},"creak, squeak",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 116},['5f53fc3cceceb9573eaf8788']
마루장,마루장/마룻장,{'$date': {'$numberLong': '1599430742443'}},wooden floor,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 117},['5f53fc3cceceb9573eaf8788']
유현하,유현하다 ,{'$date': {'$numberLong': '1599430742443'}},be subtle and profound,幽玄,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 118},['5f53fc3cceceb9573eaf8788']
전통,전통 ,{'$date': {'$numberLong': '1599430742443'}},tradition,傳統,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 119},['5f53fc3cceceb9573eaf8788']
도량,도량 ,{'$date': {'$numberLong': '1599430742443'}},magnanimity,度量,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 120},['5f53fc3cceceb9573eaf8788']
품격,품격 ,{'$date': {'$numberLong': '1599430742443'}},"grace, dignity",品格,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 121},['5f53fc3cceceb9573eaf8788']
주지승,주지승 ,{'$date': {'$numberLong': '1599430742443'}},head monk of a Buddhist temple,住持僧,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 122},['5f53fc3cceceb9573eaf8788']
행자,행자 ,{'$date': {'$numberLong': '1599430742443'}},layman monk engaged in performing Buddhist austerities; ascetic,行者,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 123},['5f53fc3cceceb9573eaf8788']
공양주,공양주 ,{'$date': {'$numberLong': '1599430742443'}},person who gives alms to a Buddhist temple,供養主,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 124},['5f53fc3cceceb9573eaf8788']
부목,부목 ,{'$date': {'$numberLong': '1599430742443'}},person in a temple responsible for gathering firewood,副木,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 125},['5f53fc3cceceb9573eaf8788']
전,전 ,{'$date': {'$numberLong': '1599430742443'}},"whole, all, entire",全,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 126},['5f53fc3cceceb9573eaf8788']
식구,식구 ,{'$date': {'$numberLong': '1599430742443'}},family members,食口,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 127},['5f53fc3cceceb9573eaf8788']
혹간,혹간 ,{'$date': {'$numberLong': '1599430742443'}},"sometimes, once in a while",或間,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 128},['5f53fc3cceceb9573eaf8788']
시절없,시절없다 ,{'$date': {'$numberLong': '1599430742443'}},out of season,時節,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 129},['5f53fc3cceceb9573eaf8788']
찾아들,찾아들다 ,{'$date': {'$numberLong': '1599430742443'}},visit,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 130},['5f53fc3cceceb9573eaf8788']
신도,신도 ,{'$date': {'$numberLong': '1599430742443'}},"believer, devotee",信徒,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 131},['5f53fc3cceceb9573eaf8788']
고시생,고시생 ,{'$date': {'$numberLong': '1599430742443'}},students preparing for state exams,考試生,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 132},['5f53fc3cceceb9573eaf8788']
사시사철,사시사철 ,{'$date': {'$numberLong': '1599430742443'}},all year round,四時四-,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 133},['5f53fc3cceceb9573eaf8788']
어김없,어김없다 ,{'$date': {'$numberLong': '1599430742443'}},be without exception,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 134},['5f53fc3cceceb9573eaf8788']
적막강산,적막강산 ,{'$date': {'$numberLong': '1599430742443'}},solitary rivers and mountains,寂寞江山,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 135},['5f53fc3cceceb9573eaf8788']
다람쥐,다람쥐 ,{'$date': {'$numberLong': '1599430742443'}},squirrel,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 136},['5f53fc3cceceb9573eaf8788']
꿩,꿩 ,{'$date': {'$numberLong': '1599430742443'}},pheasant,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 137},['5f53fc3cceceb9573eaf8788']
노닐,노닐다 ,{'$date': {'$numberLong': '1599430742443'}},"stroll, wander, ramble",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 138},['5f53fc3cceceb9573eaf8788']
걸음,걸음 ,{'$date': {'$numberLong': '1599430742443'}},steps,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 139},['5f53fc3cceceb9573eaf8788']
가구,가구 ,{'$date': {'$numberLong': '1599430742443'}},household,家口,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 140},['5f53fc3cceceb9573eaf8788']
개울가,개울가 [-까],{'$date': {'$numberLong': '1599430742443'}},the bank of a stream,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 141},['5f53fc3cceceb9573eaf8788']
천수답,천수답 ,{'$date': {'$numberLong': '1599430742443'}},rice paddies that depend on rainfall for water,天水畓,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 142},['5f53fc3cceceb9573eaf8788']
